norad_id,sma_mean_km,alt_mean_km,sma_net_30d_km,sma_slope_km_day,sma_std_30d_km,sma_resid_std_km,sma_range_30d_km,inc_std_30d_deg,raan_res_30d_deg,ecc_mean,n_tle_30d,maneuver_class,alt_shell,inc_shell,i_deg_mean,alt_start_km,alt_end_km,net_da_km,abs_da_mean,abs_da_max,dv_total_ms
55501,6862.79,484.65,-2.509,-0.07792,1.1227,0.786,2.557,0.00127,359.8646,0.000125,67,phasing,operational,43deg,43.059,487.7,481.02,1.8615000000000013,4.486891666666666,8.9068,29.897
56100,6866.19,488.05,0.01,-0.00031,0.0267,0.0265,0.145,0.00119,359.8844,0.000188,50,mixed,operational,43deg,42.941,485.73,488.96,6.0505,3.8176416666666655,8.7792,25.409
56101,6862.13,483.99,-2.481,-0.09829,1.1819,0.5582,2.582,0.00166,359.8666,0.00013,66,mixed,operational,43deg,42.94,487.87,488.39,-2.7911,3.631941666666666,7.5765,24.195
56102,6861.44,483.31,-2.577,-0.0433,0.7397,0.5666,2.835,0.0013,359.8756,0.000135,66,raising,operational,43deg,42.937,481.27,486.47,8.0645,2.5969416666666665,5.9677,17.302
56103,6862.97,484.83,-2.539,-0.06115,1.1134,0.8421,2.674,0.00188,359.8563,0.000125,70,mixed,operational,43deg,42.94,482.74,489.51,-1.2614,3.838366666666667,8.0337,25.564
56104,6863.54,485.4,-1.261,0.0101,0.6681,0.6597,5.016,0.00083,359.8765,0.000147,65,mixed,operational,43deg,42.945,486.65,491.19,-0.0990000000000002,3.5579500000000004,7.7576,23.682
56105,6865.0,486.87,0.077,0.10237,4.1862,4.0464,17.369,0.00344,359.7902,0.000259,66,mixed,operational,43deg,42.949,490.93,491.79,-4.614099999999999,2.5737583333333336,6.7283,17.133
56107,6861.29,483.15,-2.706,-0.01136,0.3803,0.3558,2.738,0.00091,359.8707,0.000165,78,mixed,operational,43deg,42.938,481.73,483.71,7.5742,3.5333333333333337,7.0842,23.542
56108,6862.11,483.97,-5.052,-0.13285,1.8589,1.0419,5.221,0.00171,359.8845,0.000178,73,mixed,operational,43deg,42.933,481.5,480.96,2.0050000000000003,2.2541,4.6744,15.02
56109,6861.72,483.58,-2.586,-0.06506,0.9581,0.5758,2.654,0.00224,359.8747,0.000146,67,mixed,operational,43deg,42.941,480.55,487.91,8.915099999999999,3.476808333333334,7.9968,23.171
56472,6950.19,572.06,0.004,0.00014,0.0239,0.0238,0.18,0.00044,0.059,0.000259,77,phasing,high-shell,70deg-B,69.964,576.81,575.82,1.357800000000001,5.113583333333334,12.8604,33.429
56475,6950.18,572.05,0.054,0.00038,0.0294,0.0291,0.16,0.00088,0.0586,0.000294,75,mixed,high-shell,70deg-B,69.967,578.36,576.76,0.1000000000000014,3.405366666666667,16.5134,22.273
56490,6950.19,572.05,0.006,0.00039,0.0238,0.0234,0.118,0.00089,0.0572,0.00026,83,phasing,high-shell,70deg-B,69.918,568.41,569.22,6.2997,6.039575,11.5575,39.476
56492,6950.12,571.99,-0.024,0.00728,0.4409,0.4336,2.928,0.00107,0.0559,0.000267,81,mixed,high-shell,70deg-B,69.916,566.36,564.28,-4.221,6.544133333333332,16.4732,42.783
56493,6950.19,572.05,-0.011,0.00021,0.0102,0.01,0.06,0.00124,0.0565,0.000279,81,phasing,high-shell,70deg-B,69.878,578.34,577.94,-1.1921000000000024,6.911591666666666,14.2725,45.202
56495,6950.19,572.06,0.054,0.00032,0.0184,0.0181,0.165,0.00086,0.0595,0.000263,88,phasing,high-shell,70deg-B,69.914,572.57,572.45,0.0700000000000002,4.477900000000001,10.9573,29.277
56496,6950.19,572.06,-0.025,-0.00012,0.0525,0.0525,0.519,0.00087,0.057,0.000287,84,phasing,high-shell,70deg-B,69.909,571.46,564.71,-1.0216000000000005,6.266316666666666,12.5536,40.996
56498,6950.19,572.06,-0.005,2e-05,0.0093,0.0093,0.048,0.00082,0.0582,0.000275,77,phasing,high-shell,70deg-B,69.92,578.09,578.35,-0.583199999999999,4.77435,14.084,31.206
57294,6861.37,483.23,-2.552,-0.03418,0.6029,0.4739,2.758,0.00221,359.8612,0.000113,62,mixed,operational,43deg,42.856,488.88,483.77,-6.7654,4.089981818181818,8.0295,24.973
57300,6861.19,483.06,0.005,-0.00028,0.0388,0.0387,0.189,0.00324,359.8717,0.000128,57,phasing,operational,43deg,42.863,486.58,485.53,-4.081300000000001,4.5001,8.481,27.479
57301,6861.98,483.84,-2.525,-0.10309,1.3215,0.6597,6.221,0.00269,359.8658,0.000156,63,mixed,operational,43deg,42.852,480.82,488.53,8.804700000000002,4.344463636363637,8.7839,26.537
57302,6861.51,483.37,-2.423,-0.04999,0.8314,0.5986,2.583,0.00299,359.8599,0.000167,56,phasing,operational,43deg,42.859,485.13,489.15,-3.2999,3.2419545454545458,7.32,19.797
57676,6853.37,475.23,-0.012,0.00044,0.0209,0.0203,0.113,0.00152,0.0233,0.00013,62,mixed,operational,53deg,53.045,471.84,479.67,5.665499999999998,4.370918181818182,9.9043,26.752
57677,6853.38,475.24,-0.016,0.00064,0.0336,0.0328,0.198,0.00059,0.0238,0.000119,65,mixed,operational,53deg,53.04,481.82,473.0,-11.5143,6.047845454545453,10.3261,37.015
57678,6853.37,475.24,-0.003,-0.00033,0.0278,0.0276,0.163,0.00094,0.023,0.000126,71,mixed,operational,53deg,53.022,481.2,469.69,-11.564700000000002,5.231308333333334,10.5478,34.919
57679,6853.35,475.21,0.014,-0.0003,0.385,0.385,3.864,0.00081,0.025,0.000122,68,mixed,operational,53deg,53.043,470.75,481.71,9.9342,4.961483333333333,11.6882,33.124
57680,6853.38,475.24,-0.034,-0.0003,0.0424,0.0423,0.232,0.00094,0.0241,0.000129,70,phasing,operational,53deg,53.038,474.16,476.45,6.401799999999997,6.549,12.1704,40.081
57681,6852.36,474.22,-4.486,-0.09841,1.7772,1.4196,4.6,0.0011,0.0206,0.000118,67,mixed,operational,53deg,53.046,470.91,476.64,0.4985999999999997,3.8326909090909096,10.1963,23.47
57682,6853.38,475.24,0.039,0.00057,0.0344,0.0338,0.242,0.00071,0.02,0.000117,76,mixed,operational,53deg,53.043,471.62,477.1,9.6996,5.158363636363637,10.5297,31.572
57683,6853.38,475.24,-0.009,6e-05,0.0264,0.0264,0.123,0.00061,0.0222,0.00012,58,mixed,operational,53deg,53.037,479.28,469.59,-3.766800000000001,4.484290909090909,10.0,27.449
58210,6861.2,483.07,0.029,-0.00029,0.0363,0.0361,0.165,0.00166,359.8796,0.000121,62,mixed,operational,43deg,42.867,484.64,480.65,3.5306,3.4852666666666665,7.5265,23.23
58211,6861.18,483.04,-0.197,-0.00036,0.0558,0.0557,0.307,0.00351,359.8716,0.000155,61,mixed,operational,43deg,42.882,488.38,489.37,-5.6523,3.1474083333333334,7.3367,20.966
58212,6861.19,483.05,0.049,0.00047,0.0374,0.037,0.217,0.00188,359.8834,0.000139,57,mixed,operational,43deg,42.871,480.67,485.03,7.7656,3.8779,6.5247,25.844
58213,6861.54,483.4,-2.406,-0.0553,0.8484,0.5602,2.771,0.0031,359.8651,0.000159,64,mixed,operational,43deg,42.872,481.39,489.18,1.1638999999999982,3.723925000000001,6.8449,24.81
58214,6861.19,483.06,-0.003,0.0002,0.027,0.0269,0.132,0.00291,359.8781,0.00016,67,mixed,operational,43deg,42.881,489.55,480.49,-8.4516,4.289283333333333,8.9834,28.573
58215,6861.2,483.06,-0.007,0.00014,0.0285,0.0285,0.153,0.00322,359.8652,0.000107,65,phasing,operational,43deg,42.885,489.48,488.23,-8.969,3.0277833333333333,7.7242,20.163
58217,6861.77,483.64,-2.478,-0.09522,1.0396,0.4446,2.667,0.00234,359.8709,0.000156,72,mixed,operational,43deg,42.878,487.1,489.33,-2.2542999999999997,3.2702249999999995,7.4327,21.785
58218,6862.15,484.01,-2.412,-0.09537,1.2003,0.5882,2.947,0.003,359.8695,0.00016,70,phasing,operational,43deg,42.881,489.4,483.12,-7.5502,3.422833333333333,8.5367,22.799
